,is_potentially_hazardous_asteroid,estimated_diameter.meters.estimated_diameter_min,estimated_diameter.meters.estimated_diameter_max,close_approach_date,epoch_date_close_approach,orbiting_body,relative_velocity.kilometers_per_second,relative_velocity.kilometers_per_hour,orbit_class_description,id,name,relative_velocity.kilometers_per_minute,proportion_of_max_diameter_to_earth
69,0,22.1082810359,49.435619262,1995-01-10,1995-01-10 18:20:00,Earth,14.7612903218,53140.6451584192,An asteroid orbit contained entirely within the orbit of the Eart,3429684,(2008 TZ),885.6774193069866,3.8797378168262445e-06
70,1,127.2198785394,284.4722965033,1995-01-10,1995-01-10 01:49:00,Earth,21.9477292873,79011.8254344272,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3556126,(2011 BM45),1316.8637572404534,2.2325560861976142e-05
71,0,88.0146520901,196.8067450894,1995-01-10,1995-01-10 17:49:00,Earth,24.2888578457,87439.8882443566,An asteroid orbit contained entirely within the orbit of the Eart,2526798,526798 (2007 AA9),1457.3314707392767,1.544551444744938e-05
72,1,265.8,594.3468684194,1995-01-11,1995-01-11 21:36:00,Earth,19.1764208552,69035.1150788215,An asteroid orbit contained entirely within the orbit of the Eart,2452376,452376 (2002 AC5),1150.5852513136915,4.664470792806467e-05
73,0,92.1626548503,206.0819612321,1995-01-11,1995-01-11 22:51:00,Earth,24.9558613049,89841.1006977167,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3444551,(2009 BC11),1497.3516782952784,1.6173439117257888e-05
74,0,7.6657557353,17.1411509231,1995-01-11,1995-01-11 02:22:00,Earth,10.9692520182,39489.3072655639,Near Earth asteroid orbits similar to that of 2062 Aten,3520662,(2010 JR34),658.1551210927316,1.3452480711897661e-06
75,0,44.1118199997,98.6370281305,1995-01-11,1995-01-11 17:29:00,Earth,22.4420465229,80791.3674822838,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3703538,(2015 AA44),1346.5227913713966,7.741094657863757e-06
76,0,11.6025908209,25.9441817907,1995-01-11,1995-01-11 07:40:00,Earth,27.9092028908,100473.1304067126,Near Earth asteroid orbits similar to that of 1221 Amor,3740931,(2016 BA15),1674.55217344521,2.0361153500784804e-06
77,0,461.9074602816,1032.8564805039,1995-01-11,1995-01-11 20:09:00,Earth,25.5080689974,91829.0483906022,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3643994,(2013 LV28),1530.48413984337,8.105921209416889e-05
78,1,305.1792325939,682.4015094011,1995-01-11,1995-01-11 10:29:00,Earth,12.2268409668,44016.6274804832,An asteroid orbit contained entirely within the orbit of the Eart,2250680,250680 (2005 QC5),733.6104580080533,5.355529033127452e-05
79,1,127.2198785394,284.4722965033,1995-01-11,1995-01-11 04:16:00,Earth,7.7685401427,27966.7445137333,An asteroid orbit contained entirely within the orbit of the Eart,3170204,(2003 YS17),466.1124085622217,2.2325560861976142e-05
80,0,121.4940407996,271.6689340891,1995-01-11,1995-01-11 16:14:00,Earth,18.0991616726,65156.9820213503,An asteroid orbit contained entirely within the orbit of the Eart,3401191,(2008 BP16),1085.9497003558383,2.1320745101954165e-05
81,0,19.2555078188,43.0566244241,1995-01-11,1995-01-11 12:22:00,Earth,11.9321657219,42955.7965988119,An asteroid orbit contained entirely within the orbit of the Eart,3655395,(2013 YM2),715.9299433135317,3.379110377028724e-06
82,1,116.0259082094,259.4418179074,1995-01-11,1995-01-11 03:22:00,Earth,14.2571658357,51325.7970085319,Near Earth asteroid orbits similar to that of 1221 Amor,3893736,(2019 WD5),855.4299501421984,2.0361153500816194e-05
