,has_online_delivery,currency,name,cuisines,location.address,location.city,user_rating.rating_text
741,0,$,Artistry,"American, Bakery, European, Burger, Fusion",17 Jalan Pinang 199149,Singapore,Good
742,0,$,Artichoke Cafe,"Cafe, Spanish, Turkish, Greek","161 Middle Road, Sculpture Square 188978",Singapore,Average
743,0,$,Makansutra Gluttons Bay,"Singaporean, Chinese, Seafood, Malay, Indian","803 Raffles Avenue, #01-15 Esplanade Mall 039802",Singapore,Average
744,0,$,Bitters & Love,Finger Food,118 Telok Ayer Street 068587,Singapore,Good
745,0,$,Rhubarb Le Restaurant,French,"3 Duxton Hill, Duxton 089589",Singapore,Good
746,0,$,Sky On 57,"Chinese, Continental, Singaporean","10 Bayfront Avenue, 57 Marina Bay Sands 018956",Singapore,Average
747,0,$,I Am,"Western, Fusion, Fast Food","674 North Bridge Road, #01-01 Haji Lane 188804",Singapore,Average
748,0,$,The Refinery Singapore,"American, Japanese, Singaporean","115 King George Avenue, #01-02 Ann Chuan Industrial Building 208561",Singapore,Average
749,0,$,Super Loco,"American, Mexican","The Quayside
60 Roberston Quay #01-13 238252",Singapore,Average
750,0,$,Chye Seng Huat Hardware,Cafe,150 Tyrwhitt Road 207563,Singapore,Good
751,0,$,Al'frank Cookies,Bakery,12 Haji Lane 189205,Singapore,Very Good
752,0,$,Potato Head Folk,American,36 Keong Saik Road 089143,Singapore,Average
753,0,$,Cut By Wolfgang Puck,"American, Steak","2 Bayfront Avenue, B1-71 Marina Bay Sands 018972",Singapore,Very Good
754,0,$,Jaan,French,"2 Stamford Road, Level 70 Equinox Complex 178882",Singapore,Good
755,0,$,The Lokal,"Singaporean, Australian, German",136 Neil Road 088865,Singapore,Average
756,0,$,Fratini La Trattoria,Italian,"10 Greenwood Avenue, Hillcrest Park 289201",Singapore,Very Good
757,0,$,Restaurant Andre,"French, Mediterranean, European",41 Bukit Pasoh Road 089855,Singapore,Good
758,0,$,Boufe Boutique Cafe,"Italian, French, Bakery, Cafe","308 Tanglin Road,Phoenix Park #01-01  247974",Singapore,Average
759,0,$,Summer Pavilion,"Chinese, Seafood, Cantonese, Dim Sum","The Ritz-Carlton, 7 Raffles Avenue,  Millenia Singapore,  039799",Singapore,Good
760,0,$,Colony,"Asian, Continental, Seafood","7 Raffles Avenue, Ritz-carlton Millenia Singapore 039799",Singapore,Good
761,0,AED,Rajasthan Al Malaki,"Indian, North Indian","Behind DPS Sharjah Primary School, Muwailih Commercial, Sharjah",Sharjah,Excellent
762,0,AED,Derby,"Fast Food, American","Al Khan Street, Al Majaz 3, Al Majaz, Sharjah",Sharjah,Very Good
763,0,AED,Crafted Blends,Cafe,"Next To Super Bonanza Hyper Market, Opposite Defence Camp, University City, Sharjah",Sharjah,Very Good
764,1,AED,Najmat Lahore Restaurant,"Pakistani, Indian, Mughlai","Near Sharjah Animal Market, Al Mina Road, Al Mareija, Sharjah",Sharjah,Very Good
765,1,AED,Saffron,"Pakistani, Chinese, Indian, Afghani","Mina Road, Opposite Bird Market, Al Mareija, Sharjah",Sharjah,Very Good
766,1,AED,TGI Friday's,"American, Mexican","Majaz Waterfront, Buhairah Corniche, Al Majaz 3, Al Majaz, Sharjah",Sharjah,Good
767,1,AED,Applebee's,"American, Mexican, Burger","Opposite Jumbo Electronics, Level 2, Sahara Centre, Al Nahda, Sharjah",Sharjah,Very Good
768,0,AED,Pizza Hut,"Fast Food, Pizza","Next to Safeer Mall, Al Nahda, Sharjah",Sharjah,Poor
769,1,AED,Nayaab Haandi,"Pakistani, Indian","Near Etisalat Business Center, Opposite ADNOC Petrol Station, Al Khan Street, Al Majaz 2, Al Majaz, Sharjah",Sharjah,Very Good
770,0,AED,Aroos Damascus,"Arabian, Middle Eastern","Opposite Emirates NBD, Near First Gulf Bank, King Abdul Aziz Street, Al Nud, Sharjah",Sharjah,Very Good
771,0,AED,Paper Fig,"Cafe, Bakery, Desserts","Near Dubai Islamic Bank, Muweilah, University City, Sharjah",Sharjah,Excellent
772,1,AED,Nando's,"African, Portuguese","Ground level, Block D, Qanat Al Qasba, Al Khan, Sharjah",Sharjah,Very Good
773,1,AED,Gazebo,"Indian, Mughlai, South Indian, Biryani","Opposite Safeer Market, Near E max, King Faisal Street, Abu Shagara, Sharjah",Sharjah,Very Good
774,1,AED,Zaroob,Lebanese,"Al Buhaira Corniche Street, Al Majaz Water Front, Al Majaz, Sharjah",Sharjah,Good
775,0,AED,Al Mukhtar Bakery,"Bakery, Arabian, Middle Eastern","Near Safeer Mall, Al Nahda, Sharjah",Sharjah,Very Good
776,1,AED,Vadakkan Pepper,South Indian,"Near New City Center Supermarket, Abu Shagara, Sharjah",Sharjah,Good
777,1,AED,Peking Chinese Restaurant,"Chinese, Thai","Opposite Spinneys Roundabout, Estiqlal Square, Halwan Suburb, Sharjah",Sharjah,Good
778,0,AED,Katis Restaurant,"Indian, North Indian, Chinese","Opposite Safeer Market, Al Khan Street, Al Khan, Sharjah",Sharjah,Very Good
779,1,AED,Kamat,"Indian, North Indian, South Indian, Chinese","Opposite HSBC, Near Emax, King Faisal Street, Abu Shagara, Sharjah",Sharjah,Good
780,0,AED,Sis Burger,"Fast Food, Burger","Behind ADNOC Petrol Station,
Univercity City Road, University City, Sharjah",Sharjah,Good
781,1,AED,Famous Dave's Barbecue,American,"Near The One, Level 3, Abu Dhabi Mall, Tourist Club Area (Al Zahiyah), Abu Dhabi",Abu Dhabi,Excellent
782,0,AED,Tamba,Indian,"6th Floor, World Trade Centre Mall, Al Markaziya, Abu Dhabi",Abu Dhabi,Excellent
783,0,AED,Genghis Grill,Asian,"Level 2, Al Wahda Mall New Extension, Al Wahda, Abu Dhabi",Abu Dhabi,Excellent
784,0,AED,Denny's,American,"Abu Dhabi Mall, Tourist Club Area (Al Zahiyah), Abu Dhabi",Abu Dhabi,Excellent
785,0,AED,The Cheesecake Factory,"American, Desserts","Level 1, Yas Mall, Yas Leisure Dr, Yas Island, Abu Dhabi",Abu Dhabi,Excellent
786,1,AED,Bait El Khetyar,"Lebanese, Arabian, Middle Eastern","Al Najda Street, Najda, Abu Dhabi",Abu Dhabi,Very Good
787,1,AED,Cho Gao - Crowne Plaza Abu Dhabi,"Thai, Japanese, Chinese, Indonesian, Vietnamese","Crowne Plaza Abu Dhabi, Sheikh Hamdan Bin Mohammed Street, Al Markaziya, Abu Dhabi",Abu Dhabi,Very Good
788,0,AED,Punjab Grill,"Indian, North Indian","Venetian Village, Ritz Carlton Abu Dhabi, Grand Canal, Al Maqtaa, Abu Dhabi",Abu Dhabi,Excellent
